,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,title,variety,winery
58932,58932,France,"With its 50% Sémillon, this ripe wine has the potential to be rich. It has a perfumed, fruity character at this stage, emphasizing flowery fruits along with citrus. As it develops, it will fill out comfortably. Drink from 2016.",Cuvée des Conti,88,16.0,Southwest France,Bergerac Sec,,Château Tour des Gendres 2014 Cuvée des Conti White (Bergerac Sec),Bordeaux-style White Blend,Château Tour des Gendres
103235,103235,US,"Concentrated, bright and focused fruit flavors feel shaped by a moderate oak influence in this full-bodied and nicely structured wine. A good amount of tannin wraps the raspberry and blackberry flavors in a firm texture.",Perli Vineyards,91,31.0,California,Mendocino Ridge,,Edmeades 2013 Perli Vineyards Zinfandel (Mendocino Ridge),Zinfandel,Edmeades
20948,20948,US,"This 60% Merlot and 40% Cabernet Sauvignon blend is a fruity, rustic wine, with broad mixed berry and cherry flavors. They lead into an earthy and tannic (and short) finish.",SageCliffe 100 Red,84,22.0,Washington,Columbia Valley (WA),Columbia Valley,Cave B 2005 SageCliffe 100 Red Red (Columbia Valley (WA)),Red Blend,Cave B
115046,115046,US,"One of the better Sangioveses out there, although it's more like Zinfandel than the great grape of Tuscany. It's robust in rustic tannins, with ripe, extracted flavors of wild forest berries, cola, licorice, beef teriaki and sandalwood. At its best now.",Estate,87,28.0,California,Amador County,Sierra Foothills,IL Gioiello 2006 Estate Sangiovese (Amador County),Sangiovese,IL Gioiello
118404,118404,Australia,"This reasonably full-bodied Chardonnay manages to retain a sense of freshness and crispness throughout. Subtle oak and vanilla notes frame peach and pineapple fruit, while the finish is long and citrusy clean.",Tarraford Vineyard,90,42.0,Victoria,Yarra Valley,,Giant Steps 2013 Tarraford Vineyard Chardonnay (Yarra Valley),Chardonnay,Giant Steps
8640,8640,France,"Medium-intense scents of ripe blackberry and raspberry unfold on the nose of this wine, with additional accents of garrigue and softly toasted oak in the background. Dark fruit flavors abound on the palate, with a solid sweet-spice flavor that stays through the lasting finish.",Vieilles Vignes,89,35.0,Languedoc-Roussillon,Côtes du Roussillon Villages,,Domaine du Clos des Fées 2009 Vieilles Vignes Red (Côtes du Roussillon Villages),Rhône-style Red Blend,Domaine du Clos des Fées
97100,97100,US,"This medium-bodied wine has an abundance of spices in its aromas and flavors, along with a smooth texture and good balance between acidity and ripeness. The fruit flavors are plummy and straightforward and the easy drinkability is undeniable.",Vintner's Reserve,88,20.0,California,California,California Other,Kendall-Jackson 2015 Vintner's Reserve Pinot Noir (California),Pinot Noir,Kendall-Jackson
87900,87900,US,"Notes of sweet pea blossoms, freesia and ripe stone fruits perfume this beautifully executed blend of Riesling and Gewürztraminer. Light on it's feet, with zippy acidity, it's a crisp, thirst-quenching white that finishes on a lavishly floral note.",,88,15.0,New York,Finger Lakes,Finger Lakes,Goose Watch 2011 Gewürztraminer-Riesling (Finger Lakes),Gewürztraminer-Riesling,Goose Watch
21891,21891,Italy,"Cometa is an irresistible white wine from the deep south of Italy. It speaks its own Sicilian language but with modern, international accents. Made from Fiano grapes, it opens with a beautiful golden color, and delivers rich aromas of stone fruit, vanilla cream and rose. The mouthfeel is exceedingly soft, creamy and long-lasting.",Cometa,92,43.0,Sicily & Sardinia,Sicilia,,Planeta 2010 Cometa Fiano (Sicilia),Fiano,Planeta
98570,98570,US,"An enormously  complex wine, but one that's not quite ready for prime time. Mainly Chardonnay, with 21% Pinot Noir, this was aged on its lees for seven years, giving it a soft creaminess and also an intense, doughy yeastiness. The raspberry, lime, toast and vanilla flavors are rich and slightly honeyed. With brisk acidity and slight scouriness, it wants a good eight years in the cellar, and should age well beyond that.",J. Schram Rosé,92,140.0,California,Napa-Mendocino-Sonoma-Marin,North Coast,Schramsberg 2005 J. Schram Rosé Sparkling (Napa-Mendocino-Sonoma-Marin),Sparkling Blend,Schramsberg
