,country,description,designation,points,price,province,region_1,region_2,title,variety,winery,town,lat,lng
1,US,"Concentrated, bright and focused fruit flavors feel shaped by a moderate oak influence in this full-bodied and nicely structured wine. A good amount of tannin wraps the raspberry and blackberry flavors in a firm texture.",Perli Vineyards,91,31.0,California,Mendocino Ridge,,Edmeades 2013 Perli Vineyards Zinfandel (Mendocino Ridge),Zinfandel,Edmeades,Ridge,39.33655,-123.30112
4,Australia,"This reasonably full-bodied Chardonnay manages to retain a sense of freshness and crispness throughout. Subtle oak and vanilla notes frame peach and pineapple fruit, while the finish is long and citrusy clean.",Tarraford Vineyard,90,42.0,Victoria,Yarra Valley,,Giant Steps 2013 Tarraford Vineyard Chardonnay (Yarra Valley),Chardonnay,Giant Steps,Healesville,-37.6513402,145.5227133
7,US,"Notes of sweet pea blossoms, freesia and ripe stone fruits perfume this beautifully executed blend of Riesling and Gewürztraminer. Light on it's feet, with zippy acidity, it's a crisp, thirst-quenching white that finishes on a lavishly floral note.",,88,15.0,New York,Finger Lakes,Finger Lakes,Goose Watch 2011 Gewürztraminer-Riesling (Finger Lakes),Gewürztraminer-Riesling,Goose Watch,Stanley,42.856417,-77.125804
9,US,"An enormously  complex wine, but one that's not quite ready for prime time. Mainly Chardonnay, with 21% Pinot Noir, this was aged on its lees for seven years, giving it a soft creaminess and also an intense, doughy yeastiness. The raspberry, lime, toast and vanilla flavors are rich and slightly honeyed. With brisk acidity and slight scouriness, it wants a good eight years in the cellar, and should age well beyond that.",J. Schram Rosé,92,140.0,California,Napa-Mendocino-Sonoma-Marin,North Coast,Schramsberg 2005 J. Schram Rosé Sparkling (Napa-Mendocino-Sonoma-Marin),Sparkling Blend,Schramsberg,California Hot Springs,35.881776,-118.656086
16,US,"Plump aromas of white peach, lemon syrup, butterscotch and prominent oak show on the nose of this bottling, one of the richer ones in the current Talley lineup. The oak smoke flavors mix with vanilla and a finish of caramel on the palate, but the winery's reliably bright acidity hold the larger elements in check.",Rincon,92,44.0,California,Arroyo Grande Valley,Central Coast,Talley 2015 Rincon Chardonnay (Arroyo Grande Valley),Chardonnay,Talley,Arroyo Grande,35.112711,-120.58077
23,US,"From the producer's monumental Atlas Peak vineyard, this is a tightly wound, solidly constructed mountain Cab, blended with a handful of Petit Verdot. Tobacco, black tea and a sliver of coconut intermingle around a medium-bodied whole that will benefit from cellaring, through 2021.",Animo,91,85.0,California,Napa Valley,Napa,Michael Mondavi Family Estate 2011 Animo Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Michael Mondavi Family Estate,California City,35.113893,-117.982087
33,US,"This is a softly delicious, immediately likeable Pinot. It's all about pie-filling raspberries and cherries and cola, with sweet toasted oak and fabulously exotic spices, leading to a dry finish. Defines in its own way coastal Pinot in its ripest, silkiest, drink-me-now incarnation.",Fogstone Vineyard,91,59.0,California,Santa Lucia Highlands,Central Coast,Testarossa 2010 Fogstone Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,Highlands,37.51994,-122.34386
40,US,"This semi-sweet wine is dark in color, full bodied, peppery in aroma, and full of berry flavors on the palate. A thick texture coats the mouth with jammy sensations that slowly recede on the finish.",1924 Limited Edition Double Black,87,12.0,California,California,California Other,Gnarly Head 2015 1924 Limited Edition Double Black Red (California),Red Blend,Gnarly Head,California City,35.125624,-118.021353
42,US,"Glimpses of sunny yellow peach and apple peek through layers of heady spice, vanilla and toast in this brisk but oaky Chardonnay. It's polished but spry, revitalized by a spray of zesty acidity through the midpalate and finish. Drink now through 2020.",Kaiser Vineyard Reserve,87,15.0,New York,Seneca Lake,Finger Lakes,Fox Run 2012 Kaiser Vineyard Reserve Chardonnay (Seneca Lake),Chardonnay,Fox Run,Wyoming,42.815918,-78.167507
43,US,"From this Southern California appellation, a spicy, rustic wine that's very dry and full of charm. Flavors of wild berries are strong and tannins are supple. It's not very varietal, but it's a nice, friendly wine.",,84,16.0,California,Temecula,South Coast,Mount Palomar 1999 Syrah (Temecula),Syrah,Mount Palomar,Temecula,33.457366,-117.082983
44,US,"This lightly sweet and simple wine tastes straightforward, very fruity, soft in texture and light to medium in body.",Authentic,84,12.0,California,California,California Other,Gnarly Head 2015 Authentic Red (California),Red Blend,Gnarly Head,California City,35.125624,-118.021353
47,France,"This structured wine also has attractive layers of ripe fruits. Black-currant freshness balances with a dry tannic core and a rich juicy texture. It's going to be ready to drink soon, so only wait until 2017.",,86,20.0,Bordeaux,Moulis-en-Médoc,,Château Pomeys 2013  Moulis-en-Médoc,Bordeaux-style Red Blend,Château Pomeys,Bordeaux,44.84044,-0.5805
